Time resolution is 1 ps
Time   rst  x  |  y_mealy  y_moore
                   0   0    0  |     0        0
               12000   1    0  |     0        0
               30000   1    1  |     0        0
               40000   1    0  |     0        0
               50000   1    1  |     1        0
               55000   1    1  |     0        1
               60000   1    0  |     0        1
               65000   1    0  |     0        0
               70000   1    1  |     1        0
               75000   1    1  |     0        1
               80000   1    0  |     0        1
               85000   1    0  |     0        0
              100000   1    1  |     0        0
              110000   1    0  |     0        0
              120000   1    1  |     1        0
              125000   1    1  |     0        1
              135000   1    1  |     0        0
              140000   1    0  |     0        0
$finish called at time : 190 ns : File "C:/Users/Marcus/Documents/Vivado/ee410_HW5/ee410_HW5.srcs/sim_1/new/tb_101_sequence_detectors.v" Line 81
