q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,x_mm,y_mm,z_mm
6.564667076933164935e+01,-9.491287012674213486e+01,-5.858910506379555727e+01,-5.888508621419665445e+01,-1.166738756093890714e+02,-3.199094695291641344e+01,-7.067662256285090905e+01,-9.512861114233686521e+00
1.123540223960785056e+02,8.420906959357361643e+01,-4.751484363397007371e+01,8.280526723523945520e+01,1.403613695200269262e+02,-9.515978254086962806e+01,2.314018198092455236e+02,4.149433379600093303e+02
4.669363882631472507e+00,-5.553729217982792932e+01,6.037559443119002367e+01,-5.233085916735370802e+01,8.692813880449546105e+01,1.416595999692199825e+02,1.157028497220043306e+01,-1.019760758803646468e+02
4.677847365228510057e+01,8.504589525618442281e+01,-5.631408684453549540e+01,7.820490368227848421e+01,6.539413266977106787e+00,1.852226160715408412e+02,1.970936089402100038e+02,3.712897127113245119e+02
-9.663997506585570818e+01,-7.182377739240661185e+01,-3.935573205934616681e+00,2.994759485721633041e+01,-1.136383245257472936e+02,9.067393000484145205e-01,7.789117651948501475e+00,-2.826210378908030521e+02
-1.746378299663163887e+02,-8.946554848565071438e+00,4.146393565210254906e+01,1.048479096655001683e+02,4.519224206476704353e+01,-3.693712929695238358e+02,-3.466982319634433907e+01,2.563938847195535118e+02
1.501641261171368456e+02,7.212619172531762501e+01,-5.902585396975237586e+01,9.314641705462818777e+01,8.307069709365134713e+01,-2.778163516227388641e+02,1.593380059901589618e+02,3.246476138582440853e+02
-7.996849549238598343e+01,5.819097195579368531e+01,6.844867743021609385e+01,-3.322534927284702633e+01,9.735150250906912106e+00,2.166439891562298214e+01,-1.224710859642296015e+02,3.660874577445981686e+02
-1.542647496155771023e+02,1.414711249111795155e+01,-5.513243927296533542e+01,7.058689308111360106e+01,-1.174926109768550759e+02,-2.980404892385319613e+02,-1.436631035509848857e+02,-6.982808696066670961e+01
-6.741278774972391830e+01,-1.030182577812462057e+02,-9.558727144350189064e+01,1.076451072036093137e+01,-1.140748760643256787e+01,-6.138235604949535684e+01,1.475544542184875354e+02,1.278959743945748073e+02
-1.340314837587080206e+02,-5.294212398863809454e+01,-1.013733214692176148e+02,-1.502189223707233623e+01,2.731431025330797979e+01,4.475041074259526397e+01,4.628947714376882772e+01,4.178678641239928027e+01
-2.617244233813795518e+01,6.603108354556530912e+01,1.944877652780738231e+01,-4.066328762148572196e+01,1.119679600745099037e+02,1.509721421325209576e+02,-7.419733012280079265e+01,3.046172859868569276e+02
-1.847698909137989176e-01,5.031492612679676313e+01,9.519550006363616035e+00,-2.450799372731225390e+00,-3.738440000972755684e+01,2.864167056232968207e+02,-9.236520971993289475e-01,2.843467351366617777e+02
-1.719952963488436239e+02,-9.313737637399697178e+00,2.084100522514681586e+01,1.109832928853954570e+02,-2.328261114042476265e+01,-4.090421343111122496e+02,-5.752136662899508934e+01,1.787695153494052533e+02
-5.169094891201041264e+00,9.377196597760786290e-01,-2.150757694155316813e+01,2.907144530382814196e+01,-1.546737576207388827e+02,3.161910244227202611e+02,-2.860368114938281892e+01,-7.577206406767859903e+01
-4.181820766839393855e+00,1.968983463015686652e+01,4.454418414197232323e+01,-4.147838543163004488e+00,-7.099123221994165078e+01,3.263603242210177768e+02,-2.386229804274613997e+01,2.268008504272474966e+02
-1.778795880057109002e+02,4.983466785006717714e+01,-8.671753387088044462e+01,9.267332397937764199e+00,-7.043000515831575115e+01,-1.608619300237699292e+02,-5.955925117390055590e+00,1.831883186154009024e+01
1.226959783834899440e+02,8.979802762351732781e+01,-3.918170798932653298e+01,1.002023284305554114e+02,-5.848954178027679518e+01,-8.621555127277312636e+01,1.343152592531652090e+02,4.919197569250375182e+02
1.123603597848875211e+02,5.856178120017747801e+01,2.709117987118256110e+01,-4.899912958504000215e+01,-1.304371926927833556e+02,-6.536818968331408541e+01,1.589070760315321991e+02,2.829329505837215493e+02
-2.722638998627593310e+01,-7.478301687802277797e+01,7.003477091124617004e+01,-6.005473308022026657e+01,-1.690939218195622118e+02,6.432719061964461105e+01,-3.309714849543676252e+01,-1.164484176738132248e+02
2.132988376811957210e+01,-1.766591180948398687e+01,6.714369204719275785e+01,-6.413460325703425724e+01,-5.027266821894934878e+01,1.998796234642138074e+02,7.804993158121381214e+01,4.333939380767165517e+01
5.058357725972894059e+01,8.580234602002258271e+01,-5.042519864818468278e+01,5.344594622875186474e+01,-1.263410451520694693e+02,1.681476048783655983e+02,2.045866575985584745e+02,3.453396996922203925e+02
8.645579043158744525e+01,-4.560465569766171967e+01,-5.398221439962975410e+01,-4.874981936058350129e+01,-4.656558053967654587e+01,1.025011486861148846e+00,1.654922054975911294e+01,-4.517612882406659480e+01
-6.172016850678690503e+01,2.020418439453909798e+01,5.308933837752292106e+00,6.717041239067262381e+01,-7.381645724662553221e+01,1.962511341372056108e+02,-3.647854686000991933e+02,2.291153265559659928e+02
1.657993422150109382e+02,5.957448271621785807e+00,3.184655723667495408e+01,5.348181241386888018e+01,-1.251727946102394071e+02,-3.939156590094598869e+02,9.968079735545516940e+01,2.151616240217547897e+02
-1.277911974415188325e+02,-1.081897265774534844e+01,8.209060826321348259e-01,-3.933402004505497018e+01,-1.151564591001396849e+02,-1.245520699307293739e+02,-1.606225098153547037e+02,-3.710282768110295137e+01
1.411591389202982327e+00,2.988549977219119569e+01,-5.693537267581334049e+01,-5.129273451738731637e+01,1.637636612266854854e+02,1.419801516136454325e+02,3.498661171044682661e+00,8.780229527176837223e+01
8.096145629912609820e+01,-9.892660925871851418e+01,9.137855573575160406e+01,-9.810535491690883703e+01,-8.461372260553524427e+01,-3.002676512804960396e-01,-1.887596057352368462e+00,-3.623747776044129409e+01
